AÑO,EQUIPO_LOCAL,VICTORIAS,DERROTAS,EMPATES,LOCAL_GOL,LOCAL_GOL_HT,LOCAL_AMARILLA,LOCAL_ROJA,LOCAL_TIRO_ARCO
2003,Arsenal,7,0,2,16,7,13,1,68
2003,Aston Villa,5,1,3,13,8,9,0,69
2003,Birmingham,3,3,3,8,3,14,2,43
2003,Blackburn,3,5,1,13,7,16,1,73
2003,Bolton,2,1,6,10,5,17,0,86
2003,Charlton,3,3,3,13,7,12,2,48
2003,Chelsea,7,1,1,20,12,7,1,52
2003,Everton,5,2,3,15,9,16,1,70
2003,Fulham,5,3,2,16,8,12,1,56
2003,Leeds,2,4,4,9,5,24,1,55
2003,Leicester,2,3,5,13,6,16,2,62
2003,Liverpool,4,4,1,15,5,10,0,70
2003,Man City,2,3,4,15,3,12,1,87
2003,Man United,8,1,1,24,12,10,0,73
2003,Middlesbrough,2,5,3,6,1,18,0,62
2003,Newcastle,4,3,3,14,6,14,0,90
2003,Portsmouth,5,4,0,18,6,19,0,62
2003,Southampton,5,4,1,11,4,13,1,75
2003,Tottenham,4,5,1,14,3,15,0,69
2003,Wolves,3,2,3,10,2,15,0,34
2004,Arsenal,14,0,6,51,21,22,0,163
2004,Aston Villa,9,5,6,26,15,23,0,119
2004,Birmingham,8,6,6,29,17,22,3,125
2004,Blackburn,3,7,10,24,13,28,2,129
2004,Bolton,8,8,4,26,10,26,0,175
2004,Charlton,10,5,5,32,14,14,0,135
2004,Chelsea,13,2,5,34,16,18,1,146
2004,Crystal Palace,2,6,2,8,3,12,0,48
2004,Everton,10,6,3,25,7,19,0,126
2004,Fulham,7,9,3,24,12,22,2,114
2004,Leeds,3,3,3,16,9,10,2,52
2004,Leicester,1,3,5,6,3,9,0,67
2004,Liverpool,14,2,4,34,17,12,0,167
2004,Man City,6,5,9,27,17,14,1,135
2004,Man United,11,2,6,32,11,16,1,162
2004,Middlesbrough,12,3,4,37,16,20,0,167
2004,Newcastle,10,4,5,35,16,17,0,165
2004,Norwich,2,4,4,12,3,8,0,66
2004,Portsmouth,10,5,5,32,14,14,0,143
2004,Southampton,5,3,11,26,10,20,0,129
2004,Tottenham,8,5,6,36,16,21,0,153
2004,West Brom,1,5,4,7,3,7,2,43
2004,Wolves,4,5,2,13,4,15,1,68
2005,Arsenal,15,2,1,47,26,25,0,156
2005,Aston Villa,6,7,6,22,9,22,1,107
2005,Birmingham,6,8,4,20,7,20,1,95
2005,Blackburn,9,6,2,22,9,28,3,115
2005,Bolton,10,2,5,22,10,21,1,142
2005,Charlton,5,11,3,24,13,17,3,97
2005,Chelsea,17,0,3,43,17,21,0,163
2005,Crystal Palace,4,2,3,13,5,18,2,58
2005,Everton,7,9,2,16,7,35,3,105
2005,Fulham,10,3,5,33,15,26,1,92
2005,Liverpool,12,3,4,27,15,21,1,144
2005,Man City,10,5,4,26,12,23,0,116
2005,Man United,11,2,6,32,16,26,0,185
2005,Middlesbrough,6,6,8,26,14,27,2,144
2005,Newcastle,8,2,7,17,10,25,4,120
2005,Norwich,5,3,1,17,5,9,1,52
2005,Portsmouth,5,7,7,21,15,36,3,113
