AÑO,EQUIPO_VISITA,VICTORIAS,DERROTAS,EMPATES,VISITA_GOL,VISITA_GOL_HT,VISITA_AMARILLA,VISITA_ROJA,VISITA_TIRO_ARCO
2003,Arsenal,6,0,4,6,3,18,0,52
2003,Aston Villa,1,6,3,16,5,10,0,60
2003,Birmingham,4,3,2,8,2,16,3,60
2003,Blackburn,3,5,2,14,8,12,1,72
2003,Bolton,3,5,2,21,4,11,1,74
2003,Charlton,5,2,3,8,5,20,0,82
2003,Chelsea,6,2,2,9,4,15,0,45
2003,Everton,1,6,2,16,10,10,1,65
2003,Fulham,3,4,2,15,8,13,1,72
2003,Leeds,2,6,1,25,10,7,0,76
2003,Leicester,2,6,1,18,9,13,1,66
2003,Liverpool,3,2,4,9,6,14,2,53
2003,Man City,3,5,2,14,4,14,1,59
2003,Man United,7,2,0,6,2,19,1,37
2003,Middlesbrough,3,2,3,7,3,17,1,63
2003,Newcastle,2,2,5,16,8,16,1,55
2003,Portsmouth,0,6,4,18,8,10,0,59
2003,Southampton,2,3,4,8,5,12,0,74
2003,Tottenham,1,6,2,15,5,15,0,80
2003,Wolves,0,8,2,24,10,20,0,100
2004,Arsenal,12,2,5,17,5,25,1,100
2004,Aston Villa,6,7,6,26,17,26,1,145
2004,Birmingham,3,6,11,30,17,27,0,129
2004,Blackburn,6,8,5,30,14,18,2,133
2004,Bolton,7,8,4,33,18,20,0,126
2004,Charlton,5,10,4,33,16,18,1,154
2004,Chelsea,13,3,3,13,6,15,0,98
2004,Crystal Palace,1,5,4,19,8,7,0,96
2004,Everton,5,7,8,28,10,12,1,150
2004,Fulham,4,10,6,26,13,16,1,157
2004,Leeds,1,8,1,23,9,13,0,81
2004,Leicester,1,5,4,19,9,11,1,86
2004,Liverpool,5,8,7,26,13,35,2,98
2004,Man City,4,10,5,30,12,20,1,134
2004,Man United,8,6,6,22,6,27,1,123
2004,Middlesbrough,6,11,4,37,14,20,2,167
2004,Newcastle,2,7,11,31,8,24,0,143
2004,Norwich,0,5,5,19,11,9,0,94
2004,Portsmouth,4,10,5,30,15,9,0,158
2004,Southampton,2,15,3,39,17,8,0,155
2004,Tottenham,8,10,2,20,9,18,1,137
2004,West Brom,0,6,4,23,11,7,0,66
2004,Wolves,0,4,5,18,9,4,0,67
2005,Arsenal,7,7,5,17,9,34,2,70
2005,Aston Villa,5,9,5,35,19,27,3,137
2005,Birmingham,2,13,4,32,12,25,0,127
2005,Blackburn,5,9,6,20,8,35,3,107
2005,Bolton,9,6,4,23,9,17,0,132
2005,Charlton,6,7,4,21,8,17,0,137
2005,Chelsea,15,1,2,7,5,37,2,80
2005,Crystal Palace,0,6,3,24,10,13,0,76
2005,Everton,5,12,3,40,16,18,4,150
2005,Fulham,2,13,5,36,14,25,2,150
2005,Liverpool,7,7,3,18,11,22,4,75
2005,Man City,5,7,7,26,16,25,1,99
2005,Man United,13,3,3,17,10,33,2,90
2005,Middlesbrough,3,8,6,23,5,20,0,129
2005,Newcastle,4,12,4,26,10,29,1,131
2005,Norwich,0,7,2,26,13,15,0,86
2005,Portsmouth,2,15,2,40,19,17,0,125
2005,Southampton,1,5,3,17,14,11,1,79
2005,Sunderland,1,7,0,15,8,11,0,62
2005,Tottenham,3,8,7,25,11,15,1,120
2005,West Brom,1,11,7,31,14,19,2,161
2005,West Ham,3,4,4,15,8,21,1,84
2005,Wigan,5,4,0,10,6,10,0,61
2006,Arsenal,9,9,2,18,11,43,1,106
2006,Aston Villa,3,8,9,32,11,22,1,152
2006,Birmingham,0,6,3,15,6,4,0,61
2006,Blackburn,5,9,3,26,13,33,1,120
2006,Bolton,5,8,6,20,8,24,2,96
2006,Charlton,0,16,5,46,24,16,1,162
2006,Chelsea,11,6,3,19,9,37,3,67
2006,Everton,4,7,7,23,10,27,3,126
2006,Fulham,2,10,7,43,25,24,0,142
2006,Liverpool,9,10,3,25,12,31,3,92
2006,Man City,4,15,1,32,20,20,1,152
2006,Man United,13,4,2,21,10,35,0,81
2006,Middlesbrough,3,12,7,33,16,20,3,149
2006,Newcastle,5,11,3,27,14,31,1,149
2006,Portsmouth,6,11,3,32,14,22,2,152
2006,Reading,3,6,2,17,7,13,1,82
2006,Sheffield United,3,6,1,12,6,13,1,68
2006,Sunderland,1,8,2,17,8,12,0,91
2006,Tottenham,4,11,5,29,16,25,1,120
2006,Watford,0,7,3,17,7,12,0,70
2006,West Brom,1,4,4,17,5,11,1,77
2006,West Ham,4,12,2,31,16,21,1,136
2006,Wigan,6,9,5,30,12,23,0,122
2007,Arsenal,7,3,8,17,8,39,2,91
2007,Aston Villa,7,4,7,26,15,27,3,126
2007,Birmingham,2,7,1,19,8,13,1,72
2007,Blackburn,8,6,6,29,13,28,0,163
2007,Bolton,2,14,3,47,29,17,1,140
2007,Charlton,1,4,4,17,6,3,0,74
2007,Chelsea,11,4,4,11,8,39,1,108
2007,Derby,0,8,2,26,11,8,1,92
2007,Everton,6,6,7,18,7,33,0,128
