sofifa_id, long_name, overall, potencial
158023,Lionel Andrés Messi Cuccittini,93.375,93.75
20801,Cristiano Ronaldo dos Santos Aveiro,92.875,92.875
41236,Zlatan Ibrahimović,86.75,86.75
167495,Manuel Peter Neuer,90.125,90.125
41,Andrés Iniesta Luján,85.25,85.25
176580,Luis Alberto Suárez Díaz,89.75,90.0
167397,Radamel Falcao García Zárate,82.75,82.75
183277,Eden Hazard,88.75,89.625
155862,Sergio Ramos García,88.75,88.75
164240,Thiago Emiliano da Silva,87.125,87.125
168542,David Josué Jiménez Silva,87.125,87.125
173731,Gareth Frank Bale,86.375,87.375
177003,Luka Modrić,88.375,88.375
188545,Robert Lewandowski,89.625,90.125
153079,Sergio Leonel Agüero del Castillo,88.125,88.25
176635,Mesut Özil,85.125,85.5
178603,Mats Hummels,86.875,87.375
183898,Ángel Fabián Di María Hernández,85.875,86.125
188350,Marco Reus,86.125,86.625
189596,Thomas Müller,86.25,86.875
190871,Neymar da Silva Santos Júnior,90.5,92.5
192119,Thibaut Courtois,88.25,90.75
198710,James David Rodríguez Rubio,85.25,87.875
165153,Karim Benzema,86.625,87.125
167948,Hugo Lloris,87.0,87.125
178088,Juan Manuel Mata García,82.375,82.5
181872,Arturo Erasmo Vidal Pardo,84.75,85.0
182521,Toni Kroos,88.0,89.0
183907,Jérôme Boateng,85.625,86.0
189511,Sergio Busquets i Burgos,86.75,87.625
138956,Giorgio Chiellini,87.375,87.375
143745,Arda Turan,79.0,79.625
152729,Gerard Piqué Bernabéu,85.875,86.625
162895,Francesc Fàbregas i Soler,82.375,82.375
167664,Gonzalo Gerardo Higuaín,85.375,85.75
168435,Salvatore Sirigu,82.375,82.5
182493,Diego Roberto Godín Leal,86.0,86.0
184941,Alexis Alejandro Sánchez Sánchez,84.375,85.125
188152,Oscar dos Santos Emboaba Júnior,83.0,85.125
120533,Kléper Laveran de Lima Ferreira,84.125,84.125
146536,Jesús Navas González,81.125,81.125
146748,Diego López Rodríguez,80.25,80.25
148119,Igor Akinfeev,80.375,80.375
162347,João Filipe Iria Santos Moutinho,82.375,82.375
162835,Samir Handanovič,86.25,86.25
168651,Ivan Rakitić,84.75,85.0
170890,Blaise Matuidi,83.75,84.125
173221,Antonio Candreva,80.5,80.625
174543,Claudio Andrés Bravo Muñoz,80.5,80.5
180206,Miralem Pjanić,84.5,85.5
180930,Edin Džeko,82.875,82.875
186561,Aaron Ramsey,82.25,83.75
186942,İlkay Gündoğan,83.875,85.5
189358,香川 真司,80.375,80.5
189505,Pedro Eliezer Rodríguez Ledesma,81.875,82.25
193080,David De Gea Quintana,87.375,89.125
193082,Juan Guillermo Cuadrado Bello,82.5,83.0
195864,Paul Pogba,86.625,90.375
197781,Francisco Román Alarcón Suárez,84.75,87.5
1179,Gianluigi Buffon,84.5,84.5
150724,Charles Joseph John Hart,79.5,79.625
163705,Steve Mandanda,82.375,82.375
164994,Jakub Błaszczykowski,76.5,76.5
169416,Carlos Alberto Vela Garrido,82.125,83.125
171877,Marek Hamšík,83.625,84.25
172723,Asmir Begović,79.25,79.5
172871,Jan Vertonghen,83.75,84.0
172879,Sokratis Papastathopoulos,82.375,82.75
173426,Simon Luc Hildebert Mignolet,79.625,79.75
175943,Dries Mertens,84.5,85.0
176676,Marcelo Vieira da Silva Júnior,84.25,85.0
182494,Néstor Fernando Muslera Micol,81.625,81.625
185221,Luiz Gustavo Dias,81.125,81.25
190460,Christian Dannemann Eriksen,84.875,87.625
191202,Nemanja Matić,82.375,83.125
192448,Marc-André ter Stegen,86.375,90.375
192563,Bernd Leno,84.125,86.75
193747,Jorge Resurrección Merodio,84.125,86.125
194765,Antoine Griezmann,86.375,88.875
197445,David Olatukunbo Alaba,84.75,86.75
200949,Lucas Rodrigues Moura da Silva,82.125,84.125
24630,José Manuel Reina Páez,81.25,81.25
135507,Fernando Luiz Rosa,83.0,83.0
139068,Luís Carlos Almeida da Cunha,81.25,81.5
146758,Roberto Soldado Rillo,78.125,78.125
164468,Gary Cahill,80.0,80.0
164859,Theo Walcott,78.875,79.625
165229,Laurent Koscielny,81.625,81.625
170733,Gervais Lombe Yao Kouassi,78.625,78.875
170797,Nuri Şahin,78.25,78.875
177326,Mathieu Valbuena,79.875,79.875
178224,Javier Hernández Balcázar,79.75,80.0
181820,Stevan Jovetić,79.5,80.375
183285,Mamadou Sakho,79.375,80.25
184881,Sofiane Feghouli,79.25,80.75
189242,Philippe Coutinho Correia,84.375,86.5
189332,Jordi Alba Ramos,85.25,86.375
189509,Thiago Alcântara do Nascimento,85.0,86.75
189712,Kevin Strootman,80.25,81.625
192883,Henrikh Mkhitaryan,82.5,83.25
192985,Kevin De Bruyne,88.5,90.375
201535,Raphaël Varane,84.375,89.75
201942,Roberto Firmino Barbosa de Oliveira,84.0,86.375
207664,Carlos Arturo Bacca Ahumada,80.5,80.5
212218,Aymeric Laporte,84.375,88.625
20775,Ricardo Andrade Quaresma Bernardo,81.0,81.0
50542,Jermain Colin Defoe,76.625,76.625
140233,Francisco Guillermo Ochoa Magaña,79.125,79.125
157481,Raúl Albiol Tortajada,82.0,82.0
158626,Mathieu Debuchy,78.375,78.375
162240,Mousa Sidi Yaya Dembélé,81.125,81.375
173909,Kevin-Prince Boateng,79.125,79.375
177358,Morgan Schneiderlin,79.25,80.625
177413,Axel Witsel,82.375,83.5
177644,Francisco Casilla Cortés,77.75,78.125
178005,Rui Pedro dos Santos Patrício,82.5,83.5
178562,Éver Maximiliano David Banega,82.375,83.375
179527,Loïc Alex Teliére Hubert Rémy,78.0,78.25
179645,Simon Thorup Kjær,81.0,81.875
179847,Federico Julián Fazio,78.875,78.875
184111,Christian Benteke Liolo,78.0,79.75
186153,Wojciech Tomasz Szczęsny,83.0,84.625
187607,Artem Dzyuba,78.625,79.25
188943,Kevin Trapp,81.875,83.625
189250,José Salomón Rondón Giménez,78.75,79.625
189513,Daniel Parejo Muñoz,83.625,84.875
189575,Iker Muniaín Goñi,80.5,83.5
190813,Stephan El Shaarawy,80.25,83.125
192366,Nicolás Hernán Gonzalo Otamendi,82.625,83.125
192387,Ciro Immobile,83.5,85.0
192505,Romelu Lukaku Menama,84.375,87.625
192620,Holger Badstuber,76.25,77.125
193116,Maxime Gonalons,78.125,79.125
193348,Xherdan Shaqiri,80.875,83.0
193352,Ricardo Iván Rodríguez Araya,80.125,82.625
196432,Enzo Nicolás Pérez,79.0,79.0
198329,Rodrigo Moreno Machado,80.375,82.625
199434,Dušan Tadić,81.125,81.625
199556,Marco Verratti,85.125,88.5
202652,Raheem Sterling,84.375,88.25
204525,Íñigo Martínez Berridi,80.375,83.0
48745,Fabricio Coloccini,74.125,74.125
53914,Phil Jagielka,77.25,77.25
139668,Federico Marchetti,76.375,76.375
157304,Thomas Vermaelen,77.875,77.875
161754,Francisco Javier García Fernández,77.375,77.625
161805,Valon Behrami,76.0,76.0
169588,Jonathan Grant Evans,79.0,79.375
170597,Tim Krul,76.75,77.5
176266,Lucas Pezzini Leiva,81.125,81.125
176600,Kévin Gameiro,80.25,80.75
176619,Gustavo Adrián Ramos Vásquez,75.25,75.25
176944,Marouane Fellaini-Bakkioui,77.375,77.5
177683,Yann Sommer,83.125,84.375
178509,Olivier Giroud,80.875,80.875
178518,Radja Nainggolan,82.875,83.375
178750,Sergio Asenjo Andrés,81.875,83.25
180216,Séamus Coleman,79.875,80.75
180819,Adam David Lallana,79.375,79.875
183187,Valentin Stocker,75.375,76.25
184134,Fernando Francisco Reges,80.125,80.625
184344,Leonardo Bonucci,84.875,85.375
184432,César Azpilicueta Tanco,83.375,84.375
185239,Ömer Toprak,80.125,81.125
186148,Ron-Robert Zieler,77.875,79.125
186569,Sven Ulreich,77.75,78.375
187735,Alan Dzagoev,78.5,79.875
188253,James Patrick McCarthy,77.875,79.5
188567,Pierre-Emerick Emiliano François Aubameyang,85.25,86.0
189125,Giacomo Bonaventura,80.5,81.625
189560,Vicente Iborra de la Fuente,80.125,80.5
189690,Vicente Guaita Panadero,78.0,78.625
190547,Kamil Jacek Glik,80.0,80.5
190584,Asier Illarramendi Andonegi,80.5,82.0
190815,Daley Blind,80.75,82.125
190972,Eduardo Antonio Salvio,80.0,81.125
191043,Alex Sandro Lobo Silva,83.75,85.5
191180,Javier Matías Pastore,80.875,82.125
191740,Ander Herrera Agüera,81.0,82.125
193041,Keylor Navas Gamboa,84.625,85.125
193301,Alexandre Lacazette,83.5,85.625
193469,Víctor Ruíz Torre,79.75,81.125
194957,Phil Jones,78.125,80.125
197242,Grzegorz Krychowiak,80.25,81.875
198219,Lorenzo Insigne,84.25,86.0
199987,Jasper Cillessen,81.125,82.75
200454,Francisco Alcácer García,80.375,84.75
200610,Kevin Volland,80.875,83.375
201862,Faustino Marcos Alberto Rojo,78.5,79.625
202477,Gerard Deulofeu Lázaro,80.0,83.875
204963,Daniel Carvajal Ramos,83.375,85.625
124375,Burak Yılmaz,78.875,78.875
124635,Mehmet Topal,76.875,76.875
134744,Atiba Hutchinson,77.625,77.625
137506,Goran Pandev,74.375,74.375
138412,James Philip Milner,80.0,80.0
146111,Mikel Rico Moreno,75.125,75.125
152908,Ashley Young,78.0,78.0
153244,André-Pierre Christian Gignac,80.5,80.5
154950,Yuriy Zhirkov,76.75,76.75
155885,Aiden John McGeady,73.75,73.75
155887,Michael Bradley,77.0,77.625
158121,Benoît Costil,79.875,80.125
158856,Christian Gentner,76.125,76.125
159145,Bafétimbi Fredius Gomis,79.125,79.125
163155,Ben Foster,78.875,78.875
163489,Andrea Consigli,80.875,81.5
164505,Bradley Guzan,73.75,73.75
169596,Ryan Shawcross,75.5,75.625
170368,Erik Lamela,79.5,81.75
172316,Jorge Andújar Moreno,77.625,77.875
173208,Domenico Criscito,78.875,79.375
173432,Héctor Alfredo Moreno Herrera,78.125,78.875
176794,Ola Toivonen,75.125,75.125
177388,Dimitri Payet,82.0,82.375
177553,Adelino André Vieira de Freitas,76.875,76.875
178213,Etienne Capoue,77.75,78.375
178416,Jeremain Marciano Lens,77.25,77.5
181291,Georginio Wijnaldum,82.0,84.0
183574,Max Bennet Kruse,81.0,81.625
183666,Roberto Jiménez Gago,77.375,77.375
183711,Jordan Henderson,81.875,83.625
183899,Pablo Daniel Piatti,78.375,79.375
184087,Toby Alderweireld,83.75,85.0
184826,Adrien Sebastian Perruchet Silva,79.0,80.125
185103,Aleksandar Kolarov,79.875,79.875
185132,Mikel San José Domínguez,77.75,79.0
185174,Andrea Poli,76.375,77.5
186115,Kieran Gibbs,76.875,77.875
186146,Daniel Nii Tackie Mensah Welbeck,77.375,79.25
187052,Yann Gérard M'Vila,78.75,80.625
187072,Lars Edi Stindl,80.375,80.875
187084,Mame Biram Diouf,74.875,75.125
188802,Marcel Schmelzer,76.625,77.0
190149,Óscar de Marcos Arana,79.0,80.0
191032,Gökhan Töre,76.25,78.5
192722,Romain Hamouma,77.125,77.625
193698,Oliver Baumann,80.875,82.375
197890,Alejandro Arribas Garrido,74.0,75.125
198176,Stefan de Vrij,82.75,85.75
198784,Alex Oxlade-Chamberlain,79.25,83.625
199189,Ross Barkley,79.125,84.0
200315,Cristian Tello Herrera,78.625,80.375
200752,Juan Guilherme Nunes Jesus,76.25,77.875
201400,Rafael Alcântara do Nascimento,80.0,83.375
202556,Memphis Depay,81.875,87.25
204639,Stefan Savić,81.625,84.375
205566,Alberto Moreno Pérez,76.75,79.5
207566,William Silva de Carvalho,81.375,84.5
207865,Marcos Aoás Corrêa,83.25,88.5
210513,Juan Fernando Quintero Paniagua,78.5,82.125
2147,Maarten Stekelenburg,74.875,74.875
143121,José Ernesto Sosa,77.625,77.625
150516,Łukasz Józef Podolski,76.875,76.875
158963,Lucas Rodrigo Biglia,80.25,80.25
159261,Fabio Quagliarella,79.125,79.125
163600,John Ruddy,72.5,72.75
165109,Ştefan Daniel Radu,78.625,79.0
165247,Itumeleng Khune,76.0,76.5
168354,Emiliano Viviano,78.75,78.75
169181,Kenneth Vermeer,75.75,75.75
172114,Diego Hernán Váleri,78.5,78.5
173306,Cristian Daniel Ansaldi,78.375,78.75
176550,David Ospina Ramírez,78.625,79.75
176733,Marcus Berg,77.625,77.625
176993,Bojan Krkíc Pérez,76.5,78.0
177983,Cristian Eduardo Zapata Valencia,76.75,76.875
179696,Emiliano Adrián Insúa Zapata,75.0,76.25
179783,Ralf Sebastian Fährmann,80.0,81.125
180714,Guilherme Alvim Marinato,77.75,77.75
182168,Andrea Ranocchia,75.75,76.375
183855,Angelo Obinze Ogbonna,78.375,79.0
183871,Nicolai Müller,74.875,75.375
184200,Marko Arnautović,80.75,81.5
184484,Gylfi Þór Sigurðsson,80.25,81.0
184716,Joseph Michael Allen,75.25,76.625
186452,Siem Stefan de Jong,73.75,74.25
187132,Carlos Augusto Zambrano Ochandarte,75.625,76.875
188377,Kyle Walker,82.25,83.75
190223,Mikel Balenziaga Oruesagasti,76.5,77.0
190286,Sergio Canales Madrazo,80.25,82.5
190778,Jeroen Zoet,78.125,81.125
192227,Shkodran Mustafi,79.75,83.0
192658,Sebastian Alexander Jung,73.375,74.875
193061,Roberto Maximiliano Pereyra,79.375,81.5
193338,Mattia Destro,75.625,77.5
194365,岡崎 慎司,75.0,75.0
194644,Martín Montoya Torralbo,77.125,79.25
195365,Kevin Kampl,80.25,81.875
196934,Oğuzhan Özyakup,77.125,80.875
197061,Joël Andre Job Matip,81.375,83.375
199304,Danilo Luiz da Silva,79.125,81.625
199451,Wissam Ben Yedder,81.0,82.5
199561,Manuel Agudo Durán,78.875,79.5
199715,Víctor Machín Pérez,80.0,80.875
200215,Sebastian Rode,77.875,79.5
200389,Jan Oblak,87.0,90.5
200529,Nacer Chadli,77.375,78.125
201153,Álvaro Borja Morata Martín,81.875,85.5
201262,Vladimír Darida,77.25,78.75
203299,André Martín Carrillo Díaz,78.5,80.375
203528,Alhassane Bangoura,70.375,72.0
204024,Christoph Kramer,78.875,81.25
204970,Florian Tristan Mariano Thauvin,80.125,83.375
205362,Matija Nastasić,78.5,81.75
207862,Matthias Ginter,79.5,83.375
208128,Hakan Çalhanoğlu,79.5,82.75
211061,Alexandru Iulian Maxim,74.625,75.875
216547,Rafael Alexandre Fernandes Ferreira da Silva,79.875,83.375
105846,Artur Boruc,74.75,74.75
142902,Andriy Pyatov,77.5,77.5
143076,Alejandro Darío Gómez,81.875,82.75
